record,date,locat,elev,temp,duration,spp,genus,family,pond.size,f.per.h
323,7/9/24,golden ponds,1522,28.9,2.5,ll,Libellula,Libs,2959.53,26.67
324,7/9/24,golden ponds,1522,28.9,11.68,ll,Libellula,Libs,2959.53,26.67
325,7/9/24,golden ponds,1522,28.9,1.86,ll,Libellula,Libs,2959.53,26.67
326,7/9/24,golden ponds,1522,28.9,10.59,simp,Erythemis,Libs,2959.53,26.67
327,7/9/24,golden ponds,1522,28.9,5.72,ply,Plathemis,Libs,2959.53,26.67
328,7/9/24,golden ponds,1522,28.9,8.25,ply,Plathemis,Libs,2959.53,26.67
329,7/9/24,golden ponds,1522,28.9,21.78,ll,Libellula,Libs,2959.53,26.67
330,7/9/24,golden ponds,1522,28.9,4.53,ll,Libellula,Libs,2959.53,26.67
331,7/9/24,golden ponds,1522,28.9,16.4,ply,Plathemis,Libs,2959.53,26.67
332,7/9/24,golden ponds,1522,28.9,20.7,ply,Plathemis,Libs,2959.53,26.67
333,7/9/24,golden ponds,1522,28.9,33.5,ply,Plathemis,Libs,2959.53,26.67
334,7/9/24,golden ponds,1522,28.9,19.47,ply,Plathemis,Libs,2959.53,26.67
335,7/9/24,golden ponds,1522,28.9,8.69,pten,Perithemis,Libs,2959.53,26.67
336,7/9/24,golden ponds,1522,28.9,5.22,ll,Libellula,Libs,2959.53,26.67
337,7/9/24,golden ponds,1522,28.9,4.06,ply,Plathemis,Libs,2959.53,26.67
338,7/9/24,golden ponds,1522,28.9,12.29,ply,Plathemis,Libs,2959.53,26.67
339,7/9/24,beaver pond,2479,29.3,7.78,lq,Libellula,Libs,168.8,66.67
340,7/9/24,beaver pond,2479,29.3,1.59,lq,Libellula,Libs,168.8,66.67
341,7/9/24,beaver pond,2479,29.3,2.41,lq,Libellula,Libs,168.8,66.67
342,7/9/24,beaver pond,2479,29.3,2.44,lq,Libellula,Libs,168.8,66.67
343,7/9/24,beaver pond,2479,29.3,2.66,lq,Libellula,Libs,168.8,66.67
344,7/9/24,beaver pond,2479,29.3,1.56,lq,Libellula,Libs,168.8,66.67
345,7/9/24,beaver pond,2479,29.3,2.35,lq,Libellula,Libs,168.8,66.67
346,7/9/24,beaver pond,2479,29.3,1.82,lq,Libellula,Libs,168.8,66.67
347,7/9/24,beaver pond,2479,29.3,1.75,lq,Libellula,Libs,168.8,66.67
348,7/9/24,beaver pond,2479,29.3,2.34,lq,Libellula,Libs,168.8,66.67
349,7/9/24,beaver pond,2479,29.3,1.93,lq,Libellula,Libs,168.8,66.67
350,7/9/24,beaver pond,2479,29.3,1.13,lq,Libellula,Libs,168.8,66.67
351,7/9/24,beaver pond,2479,29.3,2.56,lq,Libellula,Libs,168.8,66.67
352,7/9/24,beaver pond,2479,29.3,2.37,lq,Libellula,Libs,168.8,66.67
353,7/9/24,beaver pond,2479,29.3,0.81,lq,Libellula,Libs,168.8,66.67
354,7/9/24,beaver pond,2479,29.3,1.58,lq,Libellula,Libs,168.8,66.67
355,7/9/24,beaver pond,2479,29.3,0.91,lq,Libellula,Libs,168.8,66.67
356,7/9/24,beaver pond,2479,29.3,1.72,lq,Libellula,Libs,168.8,66.67
357,7/9/24,beaver pond,2479,29.3,1.47,lq,Libellula,Libs,168.8,66.67
358,7/9/24,beaver pond,2479,29.3,1.28,lq,Libellula,Libs,168.8,66.67
359,7/9/24,beaver pond,2479,29.3,8.47,lq,Libellula,Libs,168.8,66.67
360,7/9/24,beaver pond,2479,29.3,1.37,lq,Libellula,Libs,168.8,66.67
361,7/9/24,beaver pond,2479,29.3,2.5,lq,Libellula,Libs,168.8,66.67
362,7/9/24,beaver pond,2479,29.3,3.41,lq,Libellula,Libs,168.8,66.67
363,7/9/24,beaver pond,2479,29.3,1.5,lq,Libellula,Libs,168.8,66.67
364,7/9/24,beaver pond,2479,29.3,1.97,lq,Libellula,Libs,168.8,66.67
365,7/9/24,beaver pond,2479,29.3,1.32,lq,Libellula,Libs,168.8,66.67
366,7/9/24,beaver pond,2479,29.3,1,lq,Libellula,Libs,168.8,66.67
367,7/9/24,beaver pond,2479,29.3,1.28,lq,Libellula,Libs,168.8,66.67
368,7/9/24,beaver pond,2479,29.3,2.41,lq,Libellula,Libs,168.8,66.67
369,7/9/24,beaver pond,2479,29.3,4,lq,Libellula,Libs,168.8,66.67
370,7/9/24,beaver pond,2479,29.3,2.28,lq,Libellula,Libs,168.8,66.67
371,7/9/24,beaver pond,2479,29.3,3.41,lq,Libellula,Libs,168.8,66.67
372,7/9/24,beaver pond,2479,29.3,1.47,lq,Libellula,Libs,168.8,66.67
373,7/9/24,beaver pond,2479,29.3,2.22,lq,Libellula,Libs,168.8,66.67
374,7/9/24,beaver pond,2479,29.3,1.09,lq,Libellula,Libs,168.8,66.67
375,7/9/24,beaver pond,2479,29.3,1.93,lq,Libellula,Libs,168.8,66.67
376,7/9/24,beaver pond,2479,29.3,2.53,lq,Libellula,Libs,168.8,66.67
377,7/9/24,beaver pond,2479,29.3,1.78,lq,Libellula,Libs,168.8,66.67
378,7/9/24,beaver pond,2479,29.3,2.41,lq,Libellula,Libs,168.8,66.67
379,7/9/24,beaver pond,2479,29.3,1.66,lq,Libellula,Libs,168.8,66.67
380,7/9/24,beaver pond,2479,29.3,2.91,lq,Libellula,Libs,168.8,66.67
381,7/9/24,beaver pond,2479,29.3,4.84,lq,Libellula,Libs,168.8,66.67
382,7/9/24,beaver pond,2479,29.3,1.75,lq,Libellula,Libs,168.8,66.67
383,7/9/24,beaver pond,2479,29.3,1,lq,Libellula,Libs,168.8,66.67
384,7/9/24,beaver pond,2479,29.3,0.91,lq,Libellula,Libs,168.8,66.67
385,7/9/24,beaver pond,2479,29.3,1.19,lq,Libellula,Libs,168.8,66.67
386,7/9/24,beaver pond,2479,29.3,2.25,lq,Libellula,Libs,168.8,66.67
387,7/9/24,beaver pond,2479,29.3,0.93,lq,Libellula,Libs,168.8,66.67
388,7/9/24,beaver pond,2479,29.3,3.5,lq,Libellula,Libs,168.8,66.67
389,7/9/24,beaver pond,2479,29.3,1.97,lq,Libellula,Libs,168.8,66.67
390,7/9/24,beaver pond,2479,29.3,1.16,lq,Libellula,Libs,168.8,66.67
391,7/9/24,beaver pond,2479,29.3,0.85,lq,Libellula,Libs,168.8,66.67
392,7/9/24,beaver pond,2479,29.3,1.88,lq,Libellula,Libs,168.8,66.67
393,7/9/24,beaver pond,2479,29.3,0.69,lq,Libellula,Libs,168.8,66.67
394,7/9/24,beaver pond,2479,29.3,1.43,lq,Libellula,Libs,168.8,66.67
395,7/9/24,beaver pond,2479,29.3,2.04,lq,Libellula,Libs,168.8,66.67
396,7/9/24,beaver pond,2479,29.3,5.34,lq,Libellula,Libs,168.8,66.67
397,7/9/24,beaver pond,2479,29.3,2.04,lq,Libellula,Libs,168.8,66.67
398,7/9/24,beaver pond,2479,29.3,2.13,lq,Libellula,Libs,168.8,66.67
399,7/9/24,beaver pond,2479,29.3,4.1,lq,Libellula,Libs,168.8,66.67
400,7/9/24,beaver pond,2479,29.3,3.04,lq,Libellula,Libs,168.8,66.67
401,7/9/24,beaver pond,2479,29.3,2.85,lq,Libellula,Libs,168.8,66.67
402,7/9/24,beaver pond,2479,29.3,1.47,lq,Libellula,Libs,168.8,66.67
403,7/9/24,beaver pond,2479,29.3,0.91,lq,Libellula,Libs,168.8,66.67
404,7/9/24,beaver pond,2479,29.3,0.75,lq,Libellula,Libs,168.8,66.67
405,7/9/24,beaver pond,2479,29.3,4.22,lq,Libellula,Libs,168.8,66.67
406,7/9/24,beaver pond,2479,29.3,3.31,lq,Libellula,Libs,168.8,66.67
407,7/9/24,beaver pond,2479,29.3,2.22,lq,Libellula,Libs,168.8,66.67
408,7/9/24,beaver pond,2479,29.3,3.03,lq,Libellula,Libs,168.8,66.67
409,7/9/24,beaver pond,2479,29.3,1.32,lq,Libellula,Libs,168.8,66.67
410,7/9/24,beaver pond,2479,29.3,1.59,lq,Libellula,Libs,168.8,66.67
411,7/9/24,beaver pond,2479,29.3,1.38,lq,Libellula,Libs,168.8,66.67
412,7/9/24,beaver pond,2479,29.3,1.19,lq,Libellula,Libs,168.8,66.67
413,7/9/24,beaver pond,2479,29.3,1.81,lq,Libellula,Libs,168.8,66.67
414,7/9/24,beaver pond,2479,29.3,0.91,lq,Libellula,Libs,168.8,66.67
415,7/9/24,beaver pond,2479,29.3,1.96,lq,Libellula,Libs,168.8,66.67
416,7/9/24,beaver pond,2479,29.3,1.63,lq,Libellula,Libs,168.8,66.67
417,7/9/24,beaver pond,2479,29.3,1.37,lq,Libellula,Libs,168.8,66.67
418,7/9/24,beaver pond,2479,29.3,1.68,lq,Libellula,Libs,168.8,66.67
419,7/9/24,beaver pond,2479,29.3,3.75,lq,Libellula,Libs,168.8,66.67
420,7/9/24,beaver pond,2479,29.3,0.85,lq,Libellula,Libs,168.8,66.67
421,7/9/24,beaver pond,2479,29.3,1.47,lq,Libellula,Libs,168.8,66.67
422,7/9/24,beaver pond,2479,29.3,2.16,lq,Libellula,Libs,168.8,66.67
423,7/9/24,beaver pond,2479,29.3,1.19,lq,Libellula,Libs,168.8,66.67
424,7/9/24,beaver pond,2479,29.3,2.97,lq,Libellula,Libs,168.8,66.67
425,7/9/24,beaver pond,2479,29.3,3.09,lq,Libellula,Libs,168.8,66.67
426,7/9/24,beaver pond,2479,29.3,2.09,lq,Libellula,Libs,168.8,66.67
427,7/9/24,beaver pond,2479,29.3,0.75,lq,Libellula,Libs,168.8,66.67
428,7/9/24,beaver pond,2479,29.3,2.47,lq,Libellula,Libs,168.8,66.67
429,7/9/24,beaver pond,2479,29.3,3.19,lq,Libellula,Libs,168.8,66.67
430,7/9/24,beaver pond,2479,29.3,2.79,lq,Libellula,Libs,168.8,66.67
431,7/9/24,beaver pond,2479,29.3,2.72,lq,Libellula,Libs,168.8,66.67
432,7/9/24,beaver pond,2479,29.3,3.75,lq,Libellula,Libs,168.8,66.67
433,7/9/24,beaver pond,2479,29.3,2.78,lq,Libellula,Libs,168.8,66.67
434,7/9/24,beaver pond,2479,29.3,2.06,lq,Libellula,Libs,168.8,66.67
435,7/9/24,beaver pond,2479,29.3,1.32,lq,Libellula,Libs,168.8,66.67
436,7/9/24,beaver pond,2479,29.3,2.5,lq,Libellula,Libs,168.8,66.67
437,7/9/24,beaver pond,2479,29.3,1.59,lq,Libellula,Libs,168.8,66.67
438,7/9/24,beaver pond,2479,29.3,1.78,lq,Libellula,Libs,168.8,66.67
439,7/12/24,echo,3237,24.4,1.09,palm,Aeshna,Aeshnids,1258.94,24
440,7/12/24,echo,3237,24.4,0.71,palm,Aeshna,Aeshnids,1258.94,24
441,7/12/24,echo,3237,24.4,0.63,palm,Aeshna,Aeshnids,1258.94,24
442,7/12/24,echo,3237,24.4,1.5,palm,Aeshna,Aeshnids,1258.94,24
443,7/12/24,echo,3237,24.4,2.25,palm,Aeshna,Aeshnids,1258.94,24
444,7/12/24,echo,3237,24.4,6.03,palm,Aeshna,Aeshnids,1258.94,24
445,7/12/24,echo,3237,24.4,3.88,palm,Aeshna,Aeshnids,1258.94,24
446,7/12/24,echo,3237,24.4,0.38,palm,Aeshna,Aeshnids,1258.94,24
447,7/12/24,echo,3237,24.4,1.69,lq,Libellula,Libs,1258.94,24
448,7/12/24,echo,3237,24.4,2.69,lq,Libellula,Libs,1258.94,24
449,7/12/24,echo,3237,24.4,1.31,lq,Libellula,Libs,1258.94,24
450,7/12/24,echo,3237,24.4,2.22,lq,Libellula,Libs,1258.94,24
451,7/12/24,echo,3237,24.4,0.5,lq,Libellula,Libs,1258.94,24
452,7/12/24,echo,3237,24.4,1.59,lq,Libellula,Libs,1258.94,24
453,7/12/24,echo,3237,24.4,0.9,lq,Libellula,Libs,1258.94,24
454,7/12/24,echo,3237,24.4,1.32,lq,Libellula,Libs,1258.94,24
455,7/12/24,echo,3237,24.4,1.28,lq,Libellula,Libs,1258.94,24
456,7/12/24,echo,3237,24.4,1.78,lq,Libellula,Libs,1258.94,24
457,7/18/24,garfield,1645,30.56,11.84,dash,Pachydiplax,Libs,832.67,33.33
458,7/18/24,garfield,1645,30.56,7.22,dash,Pachydiplax,Libs,832.67,33.33
459,7/18/24,garfield,1645,30.56,19.56,dash,Pachydiplax,Libs,832.67,33.33
460,7/18/24,garfield,1645,30.56,11.18,lpull,Libellula,Libs,832.67,33.33
461,7/18/24,garfield,1645,30.56,14.81,dash,Pachydiplax,Libs,832.67,33.33
462,7/18/24,garfield,1645,30.56,3.44,pten,Perithemis,Libs,832.67,33.33
463,7/18/24,garfield,1645,30.56,5.94,dash,Pachydiplax,Libs,832.67,33.33
464,7/18/24,garfield,1645,30.56,15.94,ll,Libellula,Libs,832.67,33.33
465,7/18/24,garfield,1645,30.56,19.9,ll,Libellula,Libs,832.67,33.33
466,7/18/24,garfield,1645,30.56,3.06,dash,Pachydiplax,Libs,832.67,33.33
467,7/18/24,garfield,1645,30.56,2,dash,Pachydiplax,Libs,832.67,33.33
468,7/18/24,garfield,1645,30.56,2.56,dash,Pachydiplax,Libs,832.67,33.33
469,7/18/24,garfield,1645,30.56,6.25,dash,Pachydiplax,Libs,832.67,33.33
470,7/18/24,garfield,1645,30.56,13.53,dash,Pachydiplax,Libs,832.67,33.33
471,7/18/24,garfield,1645,30.56,4.59,dash,Pachydiplax,Libs,832.67,33.33
472,7/18/24,garfield,1645,30.56,5.56,dash,Pachydiplax,Libs,832.67,33.33
473,7/18/24,garfield,1645,30.56,3.5,dash,Pachydiplax,Libs,832.67,33.33
474,7/18/24,garfield,1645,30.56,9.78,dash,Pachydiplax,Libs,832.67,33.33
475,7/18/24,garfield,1645,30.56,8.9,dash,Pachydiplax,Libs,832.67,33.33
476,7/18/24,garfield,1645,30.56,29.56,lpull,Libellula,Libs,832.67,33.33
477,7/18/24,garfield,1645,30.56,1.96,dash,Pachydiplax,Libs,832.67,33.33
478,7/18/24,garfield,1645,30.56,5.65,dash,Pachydiplax,Libs,832.67,33.33
479,7/18/24,garfield,1645,30.56,5.85,dash,Pachydiplax,Libs,832.67,33.33
480,7/18/24,garfield,1645,30.56,5.03,dash,Pachydiplax,Libs,832.67,33.33
481,7/18/24,garfield,1645,30.56,6.06,dash,Pachydiplax,Libs,832.67,33.33
482,7/18/24,garfield,1645,30.56,5.59,dash,Pachydiplax,Libs,832.67,33.33
483,7/18/24,garfield,1645,30.56,5.47,dash,Pachydiplax,Libs,832.67,33.33
484,7/18/24,garfield,1645,30.56,10.22,dash,Pachydiplax,Libs,832.67,33.33
485,7/18/24,garfield,1645,30.56,8.71,dash,Pachydiplax,Libs,832.67,33.33
486,7/18/24,garfield,1645,30.56,3.25,simp,Erythemis,Libs,832.67,33.33
487,7/18/24,garfield,1645,30.56,23.19,lpull,Libellula,Libs,832.67,33.33
488,7/18/24,garfield,1645,30.56,8.84,lpull,Libellula,Libs,832.67,33.33
489,7/18/24,garfield,1645,30.56,4.75,dash,Pachydiplax,Libs,832.67,33.33
490,7/18/24,garfield,1645,30.56,13.5,simp,Erythemis,Libs,832.67,33.33
491,7/18/24,garfield,1645,30.56,4.69,dash,Pachydiplax,Libs,832.67,33.33
492,7/18/24,garfield,1645,30.56,6.34,pten,Perithemis,Libs,832.67,33.33
493,7/18/24,garfield,1645,30.56,6.25,pten,Perithemis,Libs,832.67,33.33
494,7/18/24,garfield,1645,30.56,13.84,lpull,Libellula,Libs,832.67,33.33
495,7/18/24,garfield,1645,30.56,6.57,dash,Pachydiplax,Libs,832.67,33.33
496,7/18/24,garfield,1645,30.56,6.69,dash,Pachydiplax,Libs,832.67,33.33
497,7/18/24,garfield,1645,30.56,11.47,ll,Libellula,Libs,832.67,33.33
498,7/18/24,garfield,1645,30.56,13.69,ply,Plathemis,Libs,832.67,33.33
499,7/18/24,garfield,1645,30.56,8.22,ll,Libellula,Libs,832.67,33.33
500,7/18/24,garfield,1645,30.56,15.41,ply,Plathemis,Libs,832.67,33.33
501,7/18/24,garfield,1645,30.56,9.75,ply,Plathemis,Libs,832.67,33.33
502,7/18/24,garfield,1645,30.56,6.06,ply,Plathemis,Libs,832.67,33.33
503,7/18/24,garfield,1645,30.56,9.47,ply,Plathemis,Libs,832.67,33.33
504,7/18/24,garfield,1645,30.56,17.56,ll,Libellula,Libs,832.67,33.33
505,7/18/24,garfield,1645,30.56,15.35,lpull,Libellula,Libs,832.67,33.33
506,7/18/24,garfield,1645,30.56,14.72,lpull,Libellula,Libs,832.67,33.33
507,7/20/24,lake estes,2276,23.3,9.82,lq,Libellula,Libs,4809.02,34.29
508,7/20/24,lake estes,2276,23.3,6.03,lq,Libellula,Libs,4809.02,34.29
509,7/20/24,lake estes,2276,23.3,3.96,lq,Libellula,Libs,4809.02,34.29
510,7/20/24,lake estes,2276,23.3,3.91,lq,Libellula,Libs,4809.02,34.29
511,7/20/24,lake estes,2276,23.3,3.41,lq,Libellula,Libs,4809.02,34.29
512,7/20/24,lake estes,2276,23.3,9.42,lq,Libellula,Libs,4809.02,34.29
513,7/20/24,lake estes,2276,23.3,5.09,lq,Libellula,Libs,4809.02,34.29
514,7/20/24,lake estes,2276,23.3,6.4,lq,Libellula,Libs,4809.02,34.29
515,7/20/24,lake estes,2276,23.3,3.69,lq,Libellula,Libs,4809.02,34.29
516,7/20/24,lake estes,2276,23.3,2.72,lq,Libellula,Libs,4809.02,34.29
517,7/20/24,lake estes,2276,23.3,3.1,lq,Libellula,Libs,4809.02,34.29
518,7/20/24,lake estes,2276,23.3,3.66,lq,Libellula,Libs,4809.02,34.29
519,7/20/24,lake estes,2276,23.3,14.37,lq,Libellula,Libs,4809.02,34.29
520,7/20/24,lake estes,2276,23.3,4.38,lq,Libellula,Libs,4809.02,34.29
521,7/20/24,lake estes,2276,23.3,3.29,lq,Libellula,Libs,4809.02,34.29
522,7/20/24,lake estes,2276,23.3,4.09,lq,Libellula,Libs,4809.02,34.29
523,7/20/24,lake estes,2276,23.3,4.37,lq,Libellula,Libs,4809.02,34.29
524,7/20/24,lake estes,2276,23.3,6.04,lq,Libellula,Libs,4809.02,34.29
525,7/20/24,lake estes,2276,23.3,3.35,lq,Libellula,Libs,4809.02,34.29
526,7/20/24,lake estes,2276,23.3,5.16,lq,Libellula,Libs,4809.02,34.29
527,7/20/24,lake estes,2276,23.3,6.75,lq,Libellula,Libs,4809.02,34.29
528,7/20/24,lake estes,2276,23.3,3.25,lq,Libellula,Libs,4809.02,34.29
529,7/20/24,lake estes,2276,23.3,6.32,lq,Libellula,Libs,4809.02,34.29
530,7/20/24,lake estes,2276,23.3,3.09,lq,Libellula,Libs,4809.02,34.29
531,7/20/24,lake estes,2276,23.3,4.43,lq,Libellula,Libs,4809.02,34.29
532,7/20/24,lake estes,2276,23.3,4,lpull,Libellula,Libs,4809.02,34.29
533,7/20/24,lake estes,2276,23.3,13.75,lpull,Libellula,Libs,4809.02,34.29
534,7/20/24,lake estes,2276,23.3,5.81,lq,Libellula,Libs,4809.02,34.29
535,7/20/24,lake estes,2276,23.3,9.5,lq,Libellula,Libs,4809.02,34.29
536,7/20/24,lake estes,2276,23.3,1.65,palm,Aeshna,Aeshnids,4809.02,34.29
537,7/20/24,lake estes,2276,23.3,5.56,lq,Libellula,Libs,4809.02,34.29
538,7/20/24,lake estes,2276,23.3,12.69,lq,Libellula,Libs,4809.02,34.29
539,7/20/24,lake estes,2276,23.3,10.09,lq,Libellula,Libs,4809.02,34.29
540,7/20/24,lake estes,2276,23.3,9.41,lq,Libellula,Libs,4809.02,34.29
541,7/20/24,lake estes,2276,23.3,5.56,lq,Libellula,Libs,4809.02,34.29
542,7/20/24,lake estes,2276,23.3,10.16,lq,Libellula,Libs,4809.02,34.29
543,7/20/24,lake estes,2276,23.3,12.03,lq,Libellula,Libs,4809.02,34.29
544,7/20/24,lake estes,2276,23.3,2.62,lq,Libellula,Libs,4809.02,34.29
545,7/20/24,lake estes,2276,23.3,3.72,palm,Aeshna,Aeshnids,4809.02,34.29
546,7/20/24,lake estes,2276,23.3,5.97,palm,Aeshna,Aeshnids,4809.02,34.29
547,7/20/24,lake estes,2276,23.3,8.87,lq,Libellula,Libs,4809.02,34.29
548,7/20/24,lake estes,2276,23.3,7.25,palm,Aeshna,Aeshnids,4809.02,34.29
549,7/20/24,lake estes,2276,23.3,6.78,lq,Libellula,Libs,4809.02,34.29
550,7/20/24,lake estes,2276,23.3,6.53,lq,Libellula,Libs,4809.02,34.29
551,7/20/24,lake estes,2276,23.3,9.57,palm,Aeshna,Aeshnids,4809.02,34.29
552,7/20/24,lake estes,2276,23.3,7.87,lq,Libellula,Libs,4809.02,34.29
553,7/20/24,lake estes,2276,23.3,6.03,lq,Libellula,Libs,4809.02,34.29
554,7/20/24,lake estes,2276,23.3,9.81,palm,Aeshna,Aeshnids,4809.02,34.29
555,7/20/24,lake estes,2276,23.3,12.06,lq,Libellula,Libs,4809.02,34.29
556,7/20/24,lake estes,2276,23.3,7.1,palm,Aeshna,Aeshnids,4809.02,34.29
557,7/20/24,lake estes,2276,23.3,5.5,lq,Libellula,Libs,4809.02,34.29
558,7/20/24,lake estes,2276,23.3,7.35,palm,Aeshna,Aeshnids,4809.02,34.29
559,7/20/24,lake estes,2276,23.3,12.63,lq,Libellula,Libs,4809.02,34.29
560,7/20/24,lake estes,2276,23.3,3.22,lq,Libellula,Libs,4809.02,34.29
561,7/20/24,lake estes,2276,23.3,2.81,palm,Aeshna,Aeshnids,4809.02,34.29
562,7/20/24,lake estes,2276,23.3,9.09,palm,Aeshna,Aeshnids,4809.02,34.29
563,7/20/24,lake estes,2276,23.3,6.9,palm,Aeshna,Aeshnids,4809.02,34.29
564,7/20/24,lake estes,2276,23.3,7.31,lq,Libellula,Libs,4809.02,34.29
565,7/20/24,lake estes,2276,23.3,6.03,palm,Aeshna,Aeshnids,4809.02,34.29
566,7/20/24,lake estes,2276,23.3,11.78,lq,Libellula,Libs,4809.02,34.29
567,7/20/24,lily lake,2721,22.78,4.32,lq,Libellula,Libs,1264.54,120
568,7/20/24,lily lake,2721,22.78,2.09,lq,Libellula,Libs,1264.54,120
569,7/20/24,lily lake,2721,22.78,1.75,lq,Libellula,Libs,1264.54,120
570,7/20/24,lily lake,2721,22.78,5.28,lq,Libellula,Libs,1264.54,120
571,7/20/24,lily lake,2721,22.78,1.81,lq,Libellula,Libs,1264.54,120
572,7/20/24,lily lake,2721,22.78,1.72,lq,Libellula,Libs,1264.54,120
573,7/20/24,lily lake,2721,22.78,3.18,lq,Libellula,Libs,1264.54,120
574,7/20/24,lily lake,2721,22.78,2.53,lq,Libellula,Libs,1264.54,120
575,7/20/24,lily lake,2721,22.78,4.56,lq,Libellula,Libs,1264.54,120
576,7/20/24,lily lake,2721,22.78,3.21,lq,Libellula,Libs,1264.54,120
577,7/20/24,lily lake,2721,22.78,7.9,lq,Libellula,Libs,1264.54,120
578,7/20/24,lily lake,2721,22.78,6.69,lq,Libellula,Libs,1264.54,120
579,7/20/24,lily lake,2721,22.78,4.47,lq,Libellula,Libs,1264.54,120
580,7/20/24,lily lake,2721,22.78,2.22,lq,Libellula,Libs,1264.54,120
581,7/20/24,lily lake,2721,22.78,4.25,lq,Libellula,Libs,1264.54,120
582,7/20/24,lily lake,2721,22.78,0.87,lq,Libellula,Libs,1264.54,120
583,7/20/24,lily lake,2721,22.78,5.19,lq,Libellula,Libs,1264.54,120
584,7/20/24,lily lake,2721,22.78,3.5,lq,Libellula,Libs,1264.54,120
585,7/20/24,lily lake,2721,22.78,2.38,lq,Libellula,Libs,1264.54,120
586,7/20/24,lily lake,2721,22.78,2.72,lq,Libellula,Libs,1264.54,120
587,7/20/24,lily lake,2721,22.78,2.5,lq,Libellula,Libs,1264.54,120
588,7/20/24,lily lake,2721,22.78,3.56,lq,Libellula,Libs,1264.54,120
589,7/20/24,lily lake,2721,22.78,2.91,lq,Libellula,Libs,1264.54,120
590,7/20/24,lily lake,2721,22.78,2.25,lq,Libellula,Libs,1264.54,120
591,7/20/24,lily lake,2721,22.78,3.53,lq,Libellula,Libs,1264.54,120
592,7/20/24,lily lake,2721,22.78,2.44,lq,Libellula,Libs,1264.54,120
593,7/20/24,lily lake,2721,22.78,1.81,lq,Libellula,Libs,1264.54,120
594,7/20/24,lily lake,2721,22.78,1.84,lq,Libellula,Libs,1264.54,120
595,7/20/24,lily lake,2721,22.78,2.13,lq,Libellula,Libs,1264.54,120
596,7/20/24,lily lake,2721,22.78,3.53,lq,Libellula,Libs,1264.54,120
597,7/20/24,lily lake,2721,22.78,3.81,lq,Libellula,Libs,1264.54,120
598,7/20/24,lily lake,2721,22.78,3.78,lq,Libellula,Libs,1264.54,120
599,7/20/24,lily lake,2721,22.78,1.75,lq,Libellula,Libs,1264.54,120
600,7/20/24,lily lake,2721,22.78,3.85,lq,Libellula,Libs,1264.54,120
601,7/20/24,lily lake,2721,22.78,3.69,lq,Libellula,Libs,1264.54,120
602,7/20/24,lily lake,2721,22.78,2.71,lq,Libellula,Libs,1264.54,120
603,7/20/24,lily lake,2721,22.78,4.47,lq,Libellula,Libs,1264.54,120
604,7/20/24,lily lake,2721,22.78,1.12,lq,Libellula,Libs,1264.54,120
605,7/20/24,lily lake,2721,22.78,1.84,lq,Libellula,Libs,1264.54,120
606,7/20/24,lily lake,2721,22.78,1.93,lq,Libellula,Libs,1264.54,120
607,7/20/24,lily lake,2721,22.78,1.75,lq,Libellula,Libs,1264.54,120
608,7/20/24,lily lake,2721,22.78,2.87,lq,Libellula,Libs,1264.54,120
609,7/20/24,lily lake,2721,22.78,2.6,lq,Libellula,Libs,1264.54,120
610,7/20/24,lily lake,2721,22.78,3.03,lq,Libellula,Libs,1264.54,120
611,7/20/24,lily lake,2721,22.78,3.53,lq,Libellula,Libs,1264.54,120
612,7/20/24,lily lake,2721,22.78,3.44,lq,Libellula,Libs,1264.54,120
613,7/20/24,lily lake,2721,22.78,6.68,lq,Libellula,Libs,1264.54,120
614,7/20/24,lily lake,2721,22.78,2.16,lq,Libellula,Libs,1264.54,120
615,7/20/24,lily lake,2721,22.78,1.28,lq,Libellula,Libs,1264.54,120
616,7/20/24,lily lake,2721,22.78,3.04,lq,Libellula,Libs,1264.54,120
617,7/20/24,lily lake,2721,22.78,4.88,lq,Libellula,Libs,1264.54,120
618,7/20/24,lily lake,2721,22.78,2.03,lq,Libellula,Libs,1264.54,120
619,7/20/24,lily lake,2721,22.78,1.53,lq,Libellula,Libs,1264.54,120
620,7/20/24,lily lake,2721,22.78,1.78,lq,Libellula,Libs,1264.54,120
621,7/20/24,lily lake,2721,22.78,2.59,lq,Libellula,Libs,1264.54,120
622,7/20/24,lily lake,2721,22.78,2.53,lq,Libellula,Libs,1264.54,120
623,7/20/24,lily lake,2721,22.78,1.15,lq,Libellula,Libs,1264.54,120
624,7/20/24,lily lake,2721,22.78,1.97,lq,Libellula,Libs,1264.54,120
625,7/20/24,lily lake,2721,22.78,4.66,lq,Libellula,Libs,1264.54,120
626,7/20/24,lily lake,2721,22.78,2.16,lq,Libellula,Libs,1264.54,120
627,7/22/24,ranger,2823,16.1,2.96,belt,Leucorrhinia,Libs,2279.38,68
628,7/22/24,ranger,2823,16.1,5.51,amem,Cordulia,Cords,2279.38,68
629,7/22/24,ranger,2823,16.1,3.28,amem,Cordulia,Cords,2279.38,68
630,7/22/24,ranger,2823,16.1,1.97,amem,Cordulia,Cords,2279.38,68
631,7/22/24,ranger,2823,16.1,1.35,amem,Cordulia,Cords,2279.38,68
632,7/22/24,ranger,2823,16.1,4,amem,Cordulia,Cords,2279.38,68
633,7/22/24,ranger,2823,16.1,3.63,amem,Cordulia,Cords,2279.38,68
634,7/22/24,ranger,2823,16.1,14.41,amem,Cordulia,Cords,2279.38,68
